id,account_type,label,statuses_count,followers_count,friends_count,favourites_count,listed_count,created_at,updated,account_age_days,statuses_per_day,followers_friends_ratio,friends_followers_ratio,favorites_per_status,log_statuses_count,log_followers_count,log_friends_count,log_favourites_count,log_listed_count
1502026416,genuine_accounts,0,2177,208,332,265,1,Tue Jun 11 11:20:35 +0000 2013,2016-03-15 15:53:47,1008.1897222222223,2.159315803380261,0.6265060240963856,1.5961538461538463,0.12172714745062012,7.686162303492906,5.342334251964811,5.808142489980444,5.583496308781699,0.6931471805599453
2492782375,genuine_accounts,0,2660,330,485,3972,5,Tue May 13 10:37:57 +0000 2014,2016-03-15 15:53:48,672.2193402777777,3.9570417579786112,0.6804123711340206,1.4696969696969697,1.493233082706767,7.886457270977689,5.802118375377063,6.186208623900494,8.287276755814599,1.791759469228055
293212315,genuine_accounts,0,1254,166,177,1185,0,Wed May 04 23:30:37 +0000 2011,2016-03-15 15:53:48,1776.6827662037037,0.7058097392814041,0.9378531073446328,1.0662650602409638,0.9449760765550239,7.134890851565884,5.117993812416755,5.181783550292085,7.078341579557671,0.0
191839658,genuine_accounts,0,202968,2248,981,60304,101,Fri Sep 17 14:02:10 +0000 2010,2016-03-15 15:53:48,2006.0775231481482,101.17654859194137,2.291539245667686,0.4363879003558719,0.29711087462062985,12.220808537003057,7.718240951959316,6.889591308354466,11.007170298017343,4.624972813284271
3020965143,genuine_accounts,0,82,21,79,5,0,Fri Feb 06 04:10:49 +0000 2015,2016-03-15 15:53:48,403.4881828703704,0.20322776101312573,0.26582278481012656,3.761904761904762,0.06097560975609756,4.418840607796598,3.091042453358316,4.382026634673881,1.791759469228055,0.0
2157382005,genuine_accounts,0,12915,641,1066,1568,7,Mon Oct 28 16:08:18 +0000 2013,2016-03-15 15:53:49,868.9899421296296,14.862082256498008,0.6013133208255159,1.6630265210608424,0.12140921409214092,9.466222131878165,6.464588303689961,6.9726062513017535,7.358193752733032,2.0794415416798357
1947320929,genuine_accounts,0,13676,1042,2000,19012,7,Tue Oct 08 15:59:30 +0000 2013,2016-03-15 15:53:49,888.9960532407407,15.38364534931915,0.521,1.9193857965451055,1.390172565077508,9.523470868881551,6.949856455000773,7.601402334583733,9.852878234709586,2.0794415416798357
255846106,genuine_accounts,0,61294,561,118,590,4,Tue Feb 22 04:37:34 +0000 2011,2016-03-15 15:53:49,1848.4696180555557,33.159322393665555,4.754237288135593,0.2103386809269162,0.009625738245178973,11.023453552529094,6.331501849893691,4.77912349311153,6.3818160174060985,1.6094379124341003
1733095801,genuine_accounts,0,4854,337,256,1407,4,Thu Sep 05 20:52:02 +0000 2013,2016-03-15 15:53:50,921.7929166666667,5.265824798863447,1.31640625,0.7596439169139466,0.28986402966625463,8.487764380725425,5.823045895483019,5.54907608489522,7.249925536717988,1.6094379124341003
1336097480,genuine_accounts,0,2408,421,338,2227,5,Mon Apr 08 08:37:42 +0000 2013,2016-03-15 15:53:50,1072.3028703703703,2.245634201434417,1.2455621301775148,0.8028503562945368,0.9248338870431894,7.786967002614872,6.045005314036012,5.82600010738045,7.708859601047175,1.791759469228055
380322177,genuine_accounts,0,24581,335,276,10570,4,Mon Sep 26 13:13:48 +0000 2011,2016-03-15 15:53:50,1632.1111342592592,15.060861655818673,1.213768115942029,0.8238805970149253,0.4300069159106627,10.109769746774926,5.817111159963204,5.6240175061873385,9.265869681768663,1.6094379124341003
32988810,genuine_accounts,0,2132,232,225,101,56,Sat Apr 18 19:46:36 +0000 2009,2016-03-15 15:53:50,2522.8383564814817,0.845079905544733,1.031111111111111,0.9698275862068966,0.0473733583489681,7.665284718471351,5.4510384535657,5.420534999272286,4.624972813284271,4.04305126783455
21959183,genuine_accounts,0,10354,1948,2096,3,88,Thu Feb 26 02:33:21 +0000 2009,2016-03-15 15:53:51,2574.5559027777776,4.0216644699106014,0.9293893129770993,1.0759753593429158,0.0002897430944562488,9.245224773829685,7.575071699507561,7.64826303090192,1.3862943611198906,4.48863636973214
1553611423,genuine_accounts,0,18484,271,216,8487,0,Fri Jun 28 17:14:55 +0000 2013,2016-03-15 15:53:51,990.9437037037037,18.65292642852978,1.2546296296296295,0.7970479704797048,0.45915386280025966,9.824714871370732,5.605802066295998,5.37989735354046,9.046408680293819,0.0
348080571,genuine_accounts,0,88,16,74,397,0,Wed Aug 03 21:05:06 +0000 2011,2016-03-15 15:53:51,1685.7838541666667,0.05220123551574827,0.21621621621621623,4.625,4.511363636363637,4.48863636973214,2.833213344056216,4.31748811353631,5.986452005284438,0.0
839690880,genuine_accounts,0,2418,1190,355,1092,11,Sat Sep 22 12:50:00 +0000 2012,2016-03-15 15:53:52,1270.127685185185,1.9037456062123823,3.352112676056338,0.29831932773109243,0.45161290322580644,7.791109510610028,7.0825485693553,5.87493073085203,6.996681488176539,2.4849066497880004
143687056,genuine_accounts,0,10839,7842,7836,8329,34,Fri May 14 04:08:41 +0000 2010,2016-03-15 15:53:52,2132.489710648148,5.082791230305912,1.0007656967840735,0.9992348890589136,0.7684288218470339,9.290998274993637,8.967376693212666,8.966611387052865,9.027618735160889,3.5553480614894135
2291421004,genuine_accounts,0,4774,552,787,4029,11,Sun Jan 19 10:38:59 +0000 2014,2016-03-15 15:53:52,786.2186689814815,6.072102060594094,0.7013977128335451,1.4257246376811594,0.8439463762044407,8.471149252914831,6.315358001522335,6.669498089857879,8.301521654940728,2.4849066497880004
2337494094,genuine_accounts,0,36,223,166,864,2,Tue Feb 11 01:00:08 +0000 2014,2016-03-15 15:53:52,763.6206481481481,0.04714382735367802,1.3433734939759037,0.7443946188340808,24.0,3.6109179126442243,5.4116460518550396,5.117993812416755,6.762729506931879,1.0986122886681098
225241810,genuine_accounts,0,9412,303,325,7304,2,Sat Dec 11 02:33:14 +0000 2010,2016-03-15 15:53:53,1921.5560069444443,4.898113802556533,0.9323076923076923,1.0726072607260726,0.7760305992350192,9.14984699154722,5.717027701406222,5.786897381366708,8.8963143241848,1.0986122886681098
375114767,genuine_accounts,0,55052,1978,197,7274,7,Sat Sep 17 14:42:39 +0000 2011,2016-03-15 15:53:53,1641.0494675925927,33.54682542310005,10.040609137055837,0.09959555106167846,0.13212962290198357,10.916051636578784,7.590346945602565,5.288267030694535,8.892199092039693,2.0794415416798357
52929021,genuine_accounts,0,69809,1605,969,12583,2,Thu Jul 02 01:48:26 +0000 2009,2016-03-15 15:53:53,2448.5871180555555,28.509910668580147,1.6563467492260062,0.6037383177570094,0.1802489650331619,11.153532544964447,7.381501894506707,6.877296071497429,9.440181444738114,1.0986122886681098
1657000316,genuine_accounts,0,7207,212,150,1877,0,Fri Aug 09 05:43:10 +0000 2013,2016-03-15 15:53:54,949.4241203703704,7.590917320689671,1.4133333333333333,0.7075471698113207,0.26044123768558347,8.882946799288174,5.3612921657094255,5.017279836814924,7.537962659768208,0.0
325967359,genuine_accounts,0,16677,1206,49,7008,6,Wed Jun 29 04:44:21 +0000 2011,2016-03-15 15:53:54,1721.4649652777778,9.687679003858774,24.612244897959183,0.0406301824212272,0.4202194639323619,9.72184576464693,7.095893221097532,3.912023005428146,8.854950316500325,1.9459101490553132
585912212,genuine_accounts,0,24163,435,320,676,1,Sun May 20 19:09:52 +0000 2012,2016-03-15 15:53:54,1394.863912037037,17.322836867083858,1.359375,0.735632183908046,0.027976658527500725,10.092619201258632,6.077642243349034,5.771441123130016,6.517671272912275,0.6931471805599453
2419936286,genuine_accounts,0,45750,7644,359,54926,46,Mon Mar 31 03:47:30 +0000 2014,2016-03-15 15:53:55,715.5044560185186,63.94090157674141,21.292479108635096,0.04696493982208268,1.200568306010929,10.730968928388284,8.941807118363164,5.886104031450156,10.913760309880715,3.8501476017100584
2320414572,genuine_accounts,0,1203,182,117,136,0,Fri Jan 31 07:42:25 +0000 2014,2016-03-15 15:53:55,774.3413194444445,1.553578467003542,1.5555555555555556,0.6428571428571429,0.11305070656691604,7.093404625868766,5.209486152841421,4.770684624465665,4.919980925828125,0.0
262531823,genuine_accounts,0,274989,9815,2190,40114,38,Tue Mar 08 06:40:22 +0000 2011,2016-03-15 15:53:55,1834.3844097222222,149.90805555398344,4.481735159817352,0.22312786551197147,0.14587492590612716,12.52449001235117,9.191768986390747,7.692113339595466,10.599505608187757,3.6635616461296463
226315121,genuine_accounts,0,11334,349,348,2465,4,Mon Dec 13 21:40:42 +0000 2010,2016-03-15 15:53:55,1918.7591782407408,5.906942428487478,1.0028735632183907,0.997134670487106,0.21748720663490384,9.335650562941629,5.857933154483459,5.855071922202427,7.81035268372429,1.6094379124341003
492649414,genuine_accounts,0,72102,726,28,165,23,Tue Feb 14 23:42:32 +0000 2012,2016-03-15 15:53:56,1490.6745833333334,48.36870555528691,25.928571428571427,0.03856749311294766,0.0022884247316301907,11.185850931283975,6.588926477533519,3.367295829986474,5.111987788356544,3.1780538303479458
56554591,genuine_accounts,0,15525,879,667,153,5,Tue Jul 14 00:55:42 +0000 2009,2016-03-15 15:53:56,2436.6237731481483,6.3715211889037375,1.31784107946027,0.7588168373151308,0.009855072463768115,9.650271316965625,6.779921907472252,6.504288173536645,5.0369526024136295,1.791759469228055
85193539,genuine_accounts,0,31248,3205,2377,3650,282,Sun Oct 25 23:46:57 +0000 2009,2016-03-15 15:53:56,2332.6715162037035,13.395799529825968,1.3483382414808582,0.7416536661466459,0.11680747567844342,10.349742654652538,8.072779333169498,7.774015077250727,8.202756381655638,5.645446897643238
166211662,genuine_accounts,0,105025,543,327,49956,1,Tue Jul 13 16:21:01 +0000 2010,2016-03-15 15:53:57,2071.9812037037036,50.68820113438574,1.6605504587155964,0.6022099447513812,0.4756581766246132,11.561963217534743,6.298949246855942,5.793013608384144,10.818917914398128,0.6931471805599453
222290847,genuine_accounts,0,54,10,91,14,0,Fri Dec 03 00:18:40 +0000 2010,2016-03-15 15:53:57,1929.6495023148148,0.027984356711009642,0.10989010989010989,9.1,0.25925925925925924,4.007333185232471,2.3978952727983707,4.5217885770490405,2.70805020110221,0.0
2765166293,genuine_accounts,0,371,90,147,363,0,Tue Sep 09 00:24:35 +0000 2014,2016-03-15 15:53:57,553.6453935185185,0.6701040130438486,0.6122448979591837,1.6333333333333333,0.9784366576819407,5.918893854273146,4.51085950651685,4.997212273764115,5.8971538676367405,0.0
2497379616,genuine_accounts,0,2582,223,495,1668,3,Fri May 16 00:00:51 +0000 2014,2016-03-15 15:53:57,669.661875,3.8556771654351683,0.4505050505050505,2.219730941704036,0.6460108443067389,7.8567067930958405,5.4116460518550396,6.206575926724928,7.419979923661835,1.3862943611198906
69991603,genuine_accounts,0,427,75,77,279,0,Sat Aug 29 23:29:57 +0000 2009,2016-03-15 15:53:58,2389.6833449074074,0.17868476210874076,0.974025974025974,1.0266666666666666,0.6533957845433255,6.059123195581797,4.330733340286331,4.356708826689592,5.634789603169249,0.0
